,fueltype,length,curbweight,horsepower,price
157,gas,166.3,2109,70.0,7198.0
158,diesel,166.3,2275,56.0,7898.0
159,diesel,166.3,2275,56.0,7788.0
160,gas,166.3,2094,70.0,7738.0
161,gas,166.3,2122,70.0,8358.0
162,gas,166.3,2140,70.0,9258.0
163,gas,168.7,2169,70.0,8058.0
164,gas,168.7,2204,70.0,8238.0
165,gas,168.7,2265,112.0,9298.0
166,gas,168.7,2300,112.0,9538.0
167,gas,176.2,2540,116.0,8449.0
168,gas,176.2,2536,116.0,9639.0
169,gas,176.2,2551,116.0,9989.0
170,gas,176.2,2679,116.0,11199.0
171,gas,176.2,2714,116.0,11549.0
172,gas,176.2,2975,116.0,17669.0
173,gas,175.6,2326,92.0,8948.0
174,diesel,175.6,2480,73.0,10698.0
175,gas,175.6,2414,92.0,9988.0
176,gas,175.6,2414,92.0,10898.0
177,gas,175.6,2458,92.0,11248.0
178,gas,183.5,2976,161.0,16558.0
179,gas,183.5,3016,161.0,15998.0
180,gas,187.8,3131,156.0,15690.0
181,gas,187.8,3151,156.0,15750.0
182,diesel,171.7,2261,52.0,7775.0
183,gas,171.7,2209,85.0,7975.0
184,diesel,171.7,2264,52.0,7995.0
185,gas,171.7,2212,85.0,8195.0
186,gas,171.7,2275,85.0,8495.0
187,diesel,171.7,2319,68.0,9495.0
188,gas,171.7,2300,100.0,9995.0
189,gas,159.3,2254,90.0,11595.0
190,gas,165.7,2221,90.0,9980.0
191,gas,180.2,2661,110.0,13295.0
192,diesel,180.2,2579,68.0,13845.0
193,gas,183.1,2563,88.0,12290.0
194,gas,188.8,2912,114.0,12940.0
195,gas,188.8,3034,114.0,13415.0
196,gas,188.8,2935,114.0,15985.0
197,gas,188.8,3042,114.0,16515.0
198,gas,188.8,3045,162.0,18420.0
199,gas,188.8,3157,162.0,18950.0
200,gas,188.8,2952,114.0,16845.0
201,gas,188.8,3049,160.0,19045.0
202,gas,188.8,3012,134.0,21485.0
203,diesel,188.8,3217,106.0,22470.0
204,gas,188.8,3062,114.0,22625.0
